"Previous_Items1","Previous_Items2","Previous_Items3","Previous_Items4","Predicted_Items","support","confidence","lift"
"Play,bw",,,"lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec",,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play",,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Direct,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,Play","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
,,,"Direct,lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec",,,"Direct,lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play",,,"Direct,lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Direct,lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Direct","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct","Ang(N),Goal,not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
,,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec",,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play",,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Direct,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,Play","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
,,,"Direct,lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec",,,"Direct,lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play",,,"Direct,lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Direct,lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Direct","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct","Ang(N),Goal,not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","bw",,"Play","Ang(N),not_one_timer",0.333333333333333,1,3
"Play,bw",,,"Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play,bw",,"Play","Ang(N),not_one_timer",0.333333333333333,1,3
"bw",,,"lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
,,,"Direct,lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","bw",,"lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"Play,bw",,,"lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play,bw",,"lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec",,,"Direct,lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"Play",,,"Direct,lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"bw",,,"Direct,lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"bw",,,"Direct,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","bw",,"Direct,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"Play,bw",,,"Direct,Play","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,Play","Ang(N),not_one_timer",0.333333333333333,1,3
,,,"Direct,lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"bw",,,"lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","bw",,"lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"Play,bw",,,"lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play,bw",,"lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec",,,"Direct,lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"Play",,,"Direct,lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"bw",,,"Direct,lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw","Ang(N),not_one_timer",0.333333333333333,1,3
"bw",,,"Direct","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","bw",,"Direct","Ang(N),not_one_timer",0.333333333333333,1,3
"Play,bw",,,"Direct","Ang(N),not_one_timer",0.333333333333333,1,3
"PRec","Play,bw",,"Direct","Ang(N),not_one_timer",0.333333333333333,1,3
"bw",,,"Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","bw",,"Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play,bw",,,"Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play,bw",,"Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"bw",,,"lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
,,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","bw",,"lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play,bw",,,"lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play,bw",,"lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec",,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play",,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"bw",,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"bw",,,"Direct,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","bw",,"Direct,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play,bw",,,"Direct,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,Play","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
,,,"Direct,lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"bw",,,"lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","bw",,"lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play,bw",,,"lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play,bw",,"lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec",,,"Direct,lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play",,,"Direct,lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"bw",,,"Direct,lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"bw",,,"Direct","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","bw",,"Direct","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"Play,bw",,,"Direct","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"PRec","Play,bw",,"Direct","Ang(N),not_one_timer,On_Net",0.333333333333333,1,3
"bw",,,"Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
,,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec",,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play",,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Direct,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,Play","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
,,,"Direct,lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec",,,"Direct,lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play",,,"Direct,lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Direct,lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Direct","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct","Ang(N),not_one_timer,On_Net,OZ",0.333333333333333,1,3
"bw",,,"Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
,,,"Direct,lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec",,,"Direct,lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play",,,"Direct,lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Direct,lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Direct,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,Play","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
,,,"Direct,lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec",,,"Direct,lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play",,,"Direct,lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Direct,lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play",,"Direct,lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct,lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct,lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct,lfw","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"bw",,,"Direct","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","bw",,"Direct","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Play,bw",,,"Direct","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"PRec","Play,bw",,"Direct","Ang(N),not_one_timer,OZ",0.333333333333333,1,3
"Direct",,,"Play","Direct,Medium",0.333333333333333,1,3
"PRec","Direct",,"Play","Direct,Medium",0.333333333333333,1,3
"Direct,Play",,,"Play","Direct,Medium",0.333333333333333,1,3
